duration,first_blood_time,dire_kills,radiant_kills,radiant_win
1597,181,20.0,47.0,True
1965,217,32.0,32.0,False
1945,0,53.0,28.0,False
1476,0,11.0,41.0,True
1411,0,12.0,35.0,True
1516,13,12.0,33.0,True
2445,137,23.0,41.0,True
1991,121,39.0,24.0,False
2357,6,45.0,43.0,False
1948,93,28.0,21.0,False
2477,27,39.0,34.0,False
2228,187,39.0,28.0,False
1456,0,13.0,31.0,True
2400,57,34.0,47.0,True
1649,56,37.0,18.0,False
1309,0,24.0,11.0,False
1458,99,28.0,12.0,False
1808,191,33.0,17.0,False
2633,1,59.0,36.0,False
2240,80,34.0,34.0,False
1958,90,38.0,15.0,False
1605,133,12.0,27.0,True
1499,132,18.0,29.0,True
1761,6,30.0,21.0,False
1719,224,28.0,16.0,False
1340,62,8.0,37.0,True
1728,0,31.0,17.0,False
2227,69,38.0,29.0,False
1744,18,33.0,17.0,False
2802,0,40.0,36.0,False
2013,0,37.0,31.0,True
1749,111,35.0,17.0,False
1756,187,21.0,47.0,True
1500,228,27.0,10.0,False
831,0,4.0,18.0,True
2514,192,42.0,44.0,True
1463,0,15.0,29.0,True
1248,120,14.0,35.0,True
2020,187,19.0,43.0,True
1891,142,35.0,17.0,False
2770,1,42.0,26.0,False
2362,154,38.0,39.0,True
1558,28,16.0,42.0,True
1446,309,12.0,20.0,True
2230,164,35.0,34.0,False
2415,196,30.0,46.0,True
1759,4,28.0,27.0,True
2510,59,58.0,23.0,False
2641,0,50.0,43.0,False
1883,0,27.0,36.0,True
1337,9,19.0,29.0,True
1951,111,29.0,32.0,True
2243,0,38.0,34.0,False
1987,89,36.0,18.0,False
1807,150,21.0,39.0,True
1585,12,19.0,34.0,True
2179,122,40.0,25.0,False
2959,4,42.0,40.0,True
1698,94,52.0,21.0,False
1675,158,11.0,27.0,True
2593,31,45.0,43.0,False
1943,89,39.0,45.0,False
2964,76,33.0,43.0,True
1837,131,17.0,34.0,True
1741,46,18.0,49.0,True
3199,40,59.0,46.0,False
1612,40,36.0,45.0,True
2322,89,33.0,43.0,True
1500,155,58.0,15.0,False
2420,44,52.0,29.0,False
1293,79,27.0,10.0,False
2188,103,15.0,36.0,True
1394,101,34.0,8.0,False
2186,27,35.0,42.0,True
1859,203,24.0,40.0,True
1705,95,31.0,44.0,True
1958,4,42.0,25.0,False
1884,17,26.0,36.0,True
2157,154,24.0,37.0,True
2131,46,42.0,26.0,False
1324,100,8.0,27.0,True
2481,73,31.0,37.0,True
1581,15,37.0,16.0,False
1265,190,13.0,32.0,True
1335,53,30.0,16.0,False
1933,18,42.0,29.0,False
1442,59,16.0,34.0,True
1608,165,28.0,8.0,False
2178,9,40.0,32.0,False
1520,108,29.0,11.0,False
2588,143,39.0,27.0,False
1720,200,46.0,17.0,False
1873,56,34.0,20.0,False
2919,172,48.0,66.0,True
2166,112,35.0,28.0,False
1391,40,12.0,37.0,True
1626,83,19.0,32.0,True
1769,143,19.0,38.0,True
1724,15,13.0,35.0,True
1468,270,31.0,21.0,False
1461,236,41.0,11.0,False
2888,1,51.0,52.0,True
2121,193,26.0,30.0,False
1844,42,29.0,22.0,False
2379,29,37.0,26.0,False
2054,199,22.0,31.0,True
1621,4,7.0,41.0,True
1921,88,26.0,39.0,True
1774,91,46.0,17.0,False
1704,111,14.0,33.0,True
1964,9,9.0,29.0,True
1723,285,17.0,29.0,True
2373,0,52.0,30.0,False
2323,22,20.0,38.0,True
1584,147,13.0,37.0,True
1263,7,13.0,24.0,True
624,100,1.0,10.0,True
2198,0,44.0,25.0,False
1950,53,33.0,21.0,False
1774,46,31.0,29.0,False
2267,93,21.0,31.0,True
1960,226,17.0,45.0,True
1711,19,19.0,39.0,True
1725,119,15.0,25.0,True
2139,168,29.0,51.0,True
2057,137,26.0,39.0,True
1888,5,28.0,41.0,True
664,74,6.0,10.0,True
1521,78,42.0,15.0,False
2023,59,23.0,52.0,True
2010,4,20.0,37.0,True
1375,81,28.0,34.0,False
1880,0,22.0,35.0,True
2652,22,48.0,37.0,False
2095,113,31.0,21.0,False
1738,160,33.0,11.0,False
1795,4,16.0,39.0,True
2273,86,22.0,41.0,True
1068,157,20.0,5.0,False
2799,44,37.0,45.0,True
2424,4,43.0,41.0,True
2457,43,58.0,19.0,False
1893,20,36.0,19.0,False
2176,167,21.0,45.0,True
1960,306,25.0,12.0,False
2805,68,42.0,43.0,True
3478,115,31.0,53.0,True
2783,24,44.0,30.0,False
1801,136,25.0,32.0,True
1766,121,35.0,15.0,False
1010,96,9.0,3.0,False
1815,56,17.0,40.0,True
1735,192,41.0,17.0,False
1794,0,35.0,21.0,False
1727,190,33.0,17.0,False
2279,10,41.0,40.0,True
2285,65,29.0,32.0,True
1196,93,9.0,44.0,True
1523,59,43.0,20.0,False
1427,111,24.0,44.0,True
1591,92,37.0,8.0,False
2787,13,38.0,40.0,True
2249,0,40.0,38.0,False
1753,77,16.0,38.0,True
2502,157,40.0,43.0,True
1799,0,35.0,25.0,False
1912,3,16.0,36.0,True
1573,171,29.0,15.0,False
2060,21,29.0,30.0,False
1585,152,41.0,19.0,False
1034,50,5.0,24.0,True
1104,33,13.0,25.0,True
2145,139,36.0,53.0,True
1643,103,9.0,38.0,True
1446,161,42.0,16.0,False
2220,85,43.0,36.0,True
1339,92,26.0,22.0,False
1599,114,47.0,21.0,False
2612,90,41.0,35.0,False
1874,0,20.0,46.0,True
1388,72,33.0,20.0,False
1304,108,17.0,37.0,True
1211,0,34.0,7.0,False
1750,182,21.0,27.0,True
738,16,8.0,14.0,True
1803,150,19.0,41.0,True
1708,152,15.0,27.0,True
1559,94,8.0,45.0,True
1517,16,22.0,13.0,False
3170,20,32.0,42.0,True
1680,0,37.0,21.0,False
1928,90,31.0,29.0,False
1278,189,27.0,16.0,False
3109,3,54.0,57.0,True
1826,0,18.0,30.0,True
1534,305,24.0,6.0,False
2215,122,28.0,32.0,True
2027,0,30.0,20.0,False
1979,226,24.0,40.0,True
1517,109,16.0,37.0,True
1930,55,21.0,35.0,True
1788,67,26.0,47.0,True
2698,5,51.0,39.0,True
1075,204,12.0,1.0,False
2206,142,31.0,31.0,False
2454,55,34.0,41.0,True
1674,11,19.0,33.0,True
1757,9,14.0,36.0,True
1466,48,15.0,30.0,True
2889,266,49.0,43.0,True
1660,88,30.0,25.0,False
1986,8,24.0,51.0,True
1581,32,21.0,39.0,True
2363,0,73.0,43.0,False
1258,152,27.0,15.0,False
1969,106,25.0,36.0,True
1719,108,47.0,15.0,False
1966,198,29.0,33.0,True
1536,0,19.0,34.0,True
2157,105,59.0,27.0,False
2322,43,44.0,53.0,True
1810,296,36.0,30.0,False
1720,49,26.0,41.0,True
1583,76,22.0,48.0,True
1475,64,37.0,9.0,False
2792,5,33.0,58.0,True
1263,0,13.0,38.0,True
2222,106,20.0,45.0,True
1828,5,59.0,15.0,False
1972,21,23.0,35.0,True
1959,15,35.0,34.0,True
1967,126,19.0,39.0,True
1686,45,19.0,42.0,True
1647,14,25.0,11.0,False
1869,19,49.0,16.0,False
1565,8,24.0,44.0,True
2378,144,48.0,45.0,False
1276,3,9.0,32.0,True
1528,12,34.0,37.0,True
1855,53,20.0,40.0,True
2521,99,38.0,32.0,False
1316,127,13.0,14.0,True
1734,0,42.0,17.0,False
2662,113,39.0,35.0,False
1849,14,29.0,23.0,False
1596,142,23.0,20.0,False
1348,30,17.0,25.0,True
2491,0,40.0,56.0,True
1906,123,42.0,23.0,False
2437,17,34.0,55.0,True
1958,58,32.0,43.0,True
1944,18,39.0,27.0,False
2492,4,51.0,40.0,False
1977,0,44.0,33.0,False
1495,7,15.0,37.0,True
1467,0,13.0,39.0,True
2297,70,34.0,46.0,True
1205,0,30.0,12.0,False
2234,11,28.0,42.0,True
2243,82,30.0,48.0,True
1456,198,18.0,16.0,False
3103,148,50.0,49.0,False
1412,82,25.0,11.0,False
2919,199,29.0,41.0,True
2138,172,38.0,18.0,False
1557,48,19.0,19.0,False
2232,103,39.0,26.0,False
1445,73,49.0,12.0,False
596,374,3.0,1.0,False
2483,0,30.0,45.0,True
1484,28,26.0,24.0,True
1381,94,29.0,34.0,True
1637,6,36.0,14.0,False
1501,54,16.0,42.0,True
1449,191,19.0,38.0,True
2011,197,44.0,34.0,False
1816,152,27.0,23.0,False
2145,80,40.0,31.0,False
2100,56,39.0,41.0,True
1455,79,22.0,42.0,True
3219,108,37.0,41.0,True
1303,113,7.0,34.0,True
1337,156,13.0,30.0,True
2384,188,43.0,33.0,False
1445,114,12.0,34.0,True
1338,123,11.0,23.0,True
1018,7,7.0,22.0,True
763,40,15.0,5.0,False
2730,42,37.0,56.0,True
1460,109,19.0,29.0,True
3070,54,45.0,46.0,True
2556,139,43.0,38.0,False
1776,0,14.0,33.0,True
2383,76,46.0,32.0,False
1440,82,13.0,37.0,True
1465,87,34.0,17.0,False
4319,2,45.0,58.0,True
1558,109,24.0,14.0,False
1535,109,17.0,33.0,True
1278,1,36.0,7.0,False
1879,3,21.0,42.0,True
2077,96,42.0,23.0,False
1869,0,19.0,25.0,False
1612,81,21.0,30.0,True
1943,104,36.0,23.0,False
1942,82,20.0,31.0,True
2362,172,20.0,27.0,True
2074,71,20.0,44.0,True
2156,111,54.0,34.0,False
2523,224,34.0,37.0,True
1197,5,24.0,16.0,False
2057,3,56.0,42.0,False
2212,210,41.0,40.0,True
2083,83,34.0,32.0,False
1813,59,16.0,36.0,True
1511,159,31.0,27.0,False
1848,133,15.0,36.0,True
1159,0,19.0,22.0,True
2630,3,31.0,39.0,False
1963,137,37.0,35.0,False
1546,47,15.0,43.0,True
2247,0,26.0,30.0,True
2110,132,30.0,27.0,False
2003,6,37.0,25.0,False
2502,12,44.0,52.0,False
2153,125,31.0,14.0,False
2157,247,23.0,31.0,True
1666,64,28.0,35.0,True
2193,108,24.0,37.0,True
1973,2,22.0,50.0,True
1786,10,32.0,14.0,False
1882,260,16.0,34.0,True
3362,250,38.0,38.0,False
1310,57,10.0,32.0,True
1931,45,40.0,18.0,False
2046,7,21.0,32.0,True
2215,321,34.0,38.0,True
1604,141,20.0,40.0,True
1081,66,27.0,16.0,False
1831,168,31.0,17.0,False
1945,114,29.0,44.0,True
1894,0,32.0,36.0,True
2332,0,41.0,24.0,False
1119,68,31.0,7.0,False
2353,6,35.0,51.0,True
2535,91,48.0,38.0,False
2710,5,40.0,23.0,False
2000,265,42.0,22.0,False
1528,138,27.0,17.0,False
1485,16,13.0,47.0,True
1668,133,19.0,36.0,True
1366,87,15.0,34.0,True
1471,59,23.0,22.0,True
2102,132,36.0,31.0,False
2219,204,39.0,20.0,False
2425,71,39.0,39.0,True
2936,4,44.0,46.0,False
1921,260,33.0,22.0,False
1582,108,39.0,15.0,False
784,58,23.0,1.0,False
1706,13,52.0,16.0,False
1853,80,24.0,46.0,True
2257,16,26.0,14.0,False
2482,55,30.0,20.0,False
2211,19,38.0,21.0,False
2055,5,48.0,24.0,False
2004,207,23.0,37.0,True
2260,5,49.0,21.0,False
1751,142,35.0,25.0,False
1293,0,17.0,33.0,True
2516,135,50.0,23.0,False
2286,24,54.0,34.0,False
2251,10,37.0,63.0,True
1890,54,25.0,49.0,True
2402,188,30.0,47.0,True
1722,0,36.0,18.0,False
2292,140,28.0,40.0,True
1945,0,20.0,43.0,True
1957,104,35.0,20.0,False
1754,77,15.0,40.0,True
1930,64,20.0,37.0,True
1342,71,25.0,17.0,False
2096,195,26.0,40.0,True
2621,14,44.0,50.0,True
2049,66,41.0,24.0,False
3241,130,52.0,47.0,True
1698,0,56.0,29.0,False
1600,84,10.0,40.0,True
2331,159,38.0,34.0,False
1777,0,48.0,27.0,False
1172,86,7.0,31.0,True
1655,221,32.0,14.0,False
1519,170,39.0,21.0,False
2096,140,34.0,22.0,False
1671,64,29.0,39.0,True
2589,0,61.0,26.0,False
2241,113,35.0,42.0,True
1456,11,49.0,12.0,False
2158,5,42.0,26.0,False
2071,0,32.0,31.0,True
1670,157,25.0,36.0,True
1703,45,19.0,46.0,True
2015,1,26.0,45.0,True
1952,0,25.0,27.0,True
2218,7,33.0,49.0,True
1643,14,50.0,20.0,False
1926,0,26.0,36.0,True
1617,6,25.0,30.0,True
1928,11,45.0,23.0,False
2741,128,46.0,56.0,True
2228,2,37.0,32.0,False
1122,3,31.0,9.0,False
2194,94,24.0,55.0,True
2601,112,56.0,37.0,False
2564,5,49.0,46.0,False
2131,5,56.0,29.0,False
2162,95,26.0,47.0,True
1363,0,39.0,20.0,False
2052,38,26.0,35.0,True
1075,76,12.0,26.0,True
1307,6,39.0,15.0,False
818,131,5.0,13.0,True
1890,47,50.0,24.0,False
875,146,6.0,21.0,True
1122,48,26.0,9.0,False
1461,137,14.0,32.0,True
2658,208,37.0,46.0,True
1728,119,41.0,19.0,False
2981,155,47.0,31.0,False
1989,59,37.0,28.0,False
1172,98,29.0,6.0,False
2089,96,33.0,37.0,True
1872,109,27.0,15.0,False
1988,64,27.0,40.0,True
2367,105,36.0,37.0,False
3992,230,54.0,56.0,False
2296,115,34.0,22.0,False
2041,14,21.0,32.0,True
884,19,11.0,29.0,True
2089,6,31.0,33.0,True
1500,0,16.0,33.0,True
1904,7,36.0,30.0,False
1765,67,40.0,11.0,False
2113,1,44.0,42.0,False
1750,0,16.0,35.0,True
1853,0,31.0,23.0,False
1743,3,39.0,25.0,False
1916,10,31.0,43.0,True
1316,56,12.0,33.0,True
2708,12,55.0,48.0,True
1661,51,37.0,23.0,False
4361,289,46.0,62.0,True
1492,60,29.0,11.0,False
1582,205,36.0,15.0,False
1885,52,23.0,40.0,True
1619,12,26.0,18.0,False
3481,7,58.0,41.0,True
1506,48,12.0,38.0,True
738,412,3.0,10.0,True
1496,199,34.0,12.0,False
1455,2,14.0,32.0,True
2650,70,58.0,61.0,True
2570,109,27.0,53.0,True
1966,68,35.0,47.0,True
2250,103,35.0,22.0,False
3107,0,63.0,53.0,True
2534,105,36.0,27.0,False
1635,4,32.0,19.0,False
2026,106,14.0,44.0,True
3104,38,59.0,47.0,False
2835,140,26.0,43.0,True
2838,258,40.0,34.0,True
1200,15,10.0,41.0,True
1717,0,18.0,29.0,True
2183,178,31.0,29.0,False
1506,195,15.0,25.0,True
2200,148,33.0,23.0,False
1791,119,14.0,29.0,True
2849,113,48.0,60.0,True
2473,136,31.0,56.0,True
1341,186,32.0,8.0,False
1765,112,33.0,31.0,False
2865,109,57.0,38.0,False
1636,30,47.0,26.0,False
2239,180,29.0,37.0,True
1062,72,18.0,10.0,False
2463,107,39.0,36.0,False
2504,66,60.0,29.0,False
1544,1,45.0,19.0,False
3113,130,43.0,43.0,False
3244,87,40.0,55.0,True
2552,60,52.0,44.0,False
1225,3,14.0,29.0,True
1671,0,17.0,30.0,True
2335,170,25.0,35.0,True
2210,7,40.0,32.0,False
1990,6,31.0,50.0,True
3342,49,57.0,74.0,False
3932,8,50.0,53.0,True
2400,246,29.0,45.0,True
2399,177,29.0,48.0,True
2990,227,29.0,55.0,True
1987,55,39.0,21.0,False
1538,11,12.0,36.0,True
3158,201,25.0,36.0,True
1567,102,30.0,19.0,False
2033,75,20.0,45.0,True
1162,112,26.0,10.0,False
2210,12,31.0,39.0,True
2166,81,46.0,18.0,False
2332,85,35.0,21.0,False
1142,147,9.0,25.0,True
2857,16,47.0,28.0,False
2384,10,46.0,34.0,False
1680,58,23.0,20.0,False
2493,22,49.0,26.0,False
2608,52,43.0,35.0,False
2369,69,53.0,47.0,False
1957,3,29.0,37.0,True
3660,212,43.0,51.0,True
1983,144,18.0,41.0,True
2041,9,31.0,48.0,True
3369,83,46.0,45.0,True
2801,9,53.0,30.0,False
3073,8,38.0,40.0,True
2912,134,29.0,52.0,True
1961,26,28.0,46.0,True
2852,164,59.0,42.0,False
1692,57,22.0,42.0,True
2118,9,22.0,30.0,True
2817,106,43.0,26.0,False
2071,74,43.0,16.0,False
3872,9,53.0,55.0,True
3229,125,44.0,59.0,True
2789,50,55.0,34.0,False
2153,2,27.0,39.0,True
3348,71,53.0,45.0,True
2400,74,53.0,33.0,False
913,6,4.0,25.0,True
3530,112,60.0,37.0,False
2942,53,28.0,56.0,True
2168,75,42.0,21.0,False
2290,170,24.0,42.0,True
2434,12,42.0,34.0,False
1431,0,16.0,36.0,True
3086,208,47.0,41.0,True
5157,8,50.0,53.0,False
935,34,33.0,7.0,False
3394,145,50.0,59.0,True
3231,52,66.0,52.0,False
1510,56,33.0,21.0,False
2351,5,49.0,35.0,False
431,90,2.0,7.0,True
4054,77,45.0,42.0,True
2701,159,52.0,45.0,False
2599,7,40.0,27.0,False
2155,179,49.0,15.0,False
2777,113,38.0,59.0,True
2050,5,19.0,36.0,True
2055,55,28.0,37.0,True
3275,55,50.0,55.0,True
2464,0,41.0,47.0,True
3028,143,57.0,48.0,False
1384,60,39.0,12.0,False
1819,91,20.0,41.0,True
1557,3,21.0,27.0,True
1557,234,37.0,12.0,False
853,120,8.0,6.0,True
1732,185,19.0,24.0,True
2986,184,49.0,37.0,False
1958,86,26.0,38.0,True
1587,232,11.0,26.0,True
2214,8,48.0,17.0,False
2565,38,40.0,30.0,False
1823,250,31.0,18.0,False
677,0,2.0,14.0,True
2257,16,46.0,23.0,False
1148,304,7.0,18.0,True
2446,9,69.0,39.0,False
2295,172,48.0,24.0,False
2035,125,33.0,23.0,False
1166,173,6.0,19.0,True
2372,87,40.0,30.0,False
1661,216,21.0,40.0,True
1869,138,23.0,31.0,True
2111,78,20.0,47.0,True
2335,86,34.0,45.0,False
2497,0,51.0,42.0,False
1683,4,39.0,25.0,False
1952,201,38.0,14.0,False
2675,13,48.0,37.0,False
2077,5,44.0,21.0,False
2651,17,51.0,36.0,False
4808,113,75.0,71.0,False
2504,217,61.0,35.0,False
2374,55,35.0,47.0,True
2666,24,38.0,46.0,True
1424,139,26.0,11.0,False
1532,257,5.0,15.0,True
2119,219,46.0,34.0,False
1996,0,41.0,17.0,False
1659,221,14.0,33.0,True
1965,86,25.0,33.0,True
1098,145,15.0,27.0,True
1975,75,34.0,46.0,True
2764,13,40.0,58.0,True
1851,165,31.0,44.0,True
1668,135,37.0,20.0,False
2820,9,56.0,51.0,True
2456,26,50.0,43.0,False
2504,70,58.0,36.0,False
1577,11,21.0,30.0,True
1769,102,41.0,25.0,False
1745,36,13.0,31.0,True
3006,147,33.0,41.0,True
1081,97,15.0,17.0,False
2744,143,33.0,52.0,True
2125,4,32.0,42.0,True
2170,130,39.0,24.0,False
2653,204,40.0,44.0,True
2914,19,55.0,37.0,False
878,9,5.0,23.0,True
2412,31,41.0,29.0,False
2338,226,30.0,48.0,True
2135,122,21.0,28.0,True
1639,28,31.0,33.0,True
2123,0,48.0,27.0,False
1914,300,28.0,16.0,False
1676,136,21.0,43.0,True
1805,198,22.0,30.0,True
1907,58,31.0,47.0,True
1745,105,23.0,22.0,True
2825,22,43.0,59.0,True
2357,12,24.0,45.0,True
1815,121,34.0,27.0,False
2446,131,32.0,33.0,True
2352,0,48.0,32.0,False
2507,43,45.0,22.0,False
1255,159,10.0,22.0,True
3607,3,47.0,73.0,True
2566,54,29.0,38.0,True
1610,226,22.0,14.0,False
1141,6,11.0,28.0,True
2411,159,49.0,28.0,False
2829,0,31.0,26.0,True
2094,41,42.0,10.0,False
2623,71,30.0,26.0,False
2334,170,42.0,19.0,False
1392,50,31.0,21.0,False
1691,112,36.0,19.0,False
748,0,5.0,19.0,True
2043,165,23.0,38.0,True
2374,10,51.0,27.0,False
3432,45,61.0,54.0,False
2251,86,38.0,25.0,False
2320,47,37.0,39.0,True
2597,177,33.0,34.0,False
2576,58,34.0,58.0,True
2330,266,33.0,27.0,False
2872,104,38.0,45.0,False
1967,6,22.0,32.0,True
2976,159,43.0,34.0,False
1800,112,19.0,35.0,True
2629,268,39.0,38.0,True
2486,80,24.0,42.0,True
1720,253,30.0,23.0,False
1749,35,11.0,26.0,True
1247,23,12.0,39.0,True
2674,0,37.0,48.0,True
2660,0,53.0,40.0,False
1929,23,42.0,23.0,False
2780,1,27.0,51.0,True
2333,210,32.0,31.0,False
2929,0,43.0,50.0,True
2182,54,42.0,26.0,False
2279,57,43.0,37.0,False
2769,58,50.0,38.0,False
3114,9,35.0,46.0,True
1744,138,23.0,44.0,True
1609,0,51.0,21.0,False
1533,4,17.0,60.0,True
1818,10,31.0,39.0,True
2117,50,18.0,34.0,True
3460,9,32.0,55.0,True
1540,142,19.0,28.0,True
1117,93,3.0,14.0,True
2385,15,18.0,44.0,True
1131,0,17.0,20.0,True
2405,144,44.0,49.0,True
2638,40,54.0,51.0,True
2264,182,33.0,40.0,True
2004,67,23.0,41.0,True
2458,99,44.0,36.0,True
1955,110,28.0,47.0,True
2713,75,45.0,58.0,True
1762,71,28.0,29.0,True
1712,125,35.0,16.0,False
2237,202,29.0,42.0,True
2876,20,41.0,25.0,False
1772,21,35.0,28.0,False
2074,0,25.0,44.0,True
3422,8,43.0,43.0,False
1642,144,14.0,39.0,True
1565,83,29.0,17.0,False
3061,2,53.0,45.0,False
2130,0,27.0,58.0,True
2534,166,45.0,33.0,False
2563,170,38.0,31.0,False
1307,166,5.0,28.0,True
1543,8,30.0,16.0,False
1672,137,13.0,32.0,True
1743,106,20.0,58.0,True
2992,0,19.0,40.0,True
2648,135,50.0,38.0,False
2802,85,46.0,42.0,True
1838,173,32.0,21.0,False
