match_id,match_seq_num,radiant_win,start_time,duration,avg_mmr,num_mmr,lobby_type,game_mode,avg_rank_tier,num_rank_tier,cluster
5223127415,4382845416,false,1580646932,2163,2759,3,7,22,46,6,136
5223127504,4382857205,true,1580646926,2717,873,2,7,22,21,5,155
5223127605,4382876128,false,1580646926,3383,1287,3,7,22,31,7,227
5223127606,4382840267,false,1580646933,2112,2222,1,7,22,32,5,223
5223127611,4382861856,true,1580646927,2882,2989,2,7,22,48,3,133
5223127712,4382865172,false,1580646940,3064,2961,4,7,22,42,5,193
5223127715,4382888136,true,1580646940,3959,2457,5,7,22,53,8,184
5223127716,4382838244,true,1580646933,1999,1813,4,7,22,35,9,236
5223127915,4382865230,false,1580646918,3003,1258,1,7,22,32,3,152
5223127917,4382871609,false,1580646943,3314,1752,1,7,22,41,6,132
5223128011,4382859587,false,1580646951,2819,2697,4,7,22,56,6,132
5223128014,4382843023,true,1580646950,2130,2472,3,7,22,56,9,136
5223128016,4382837367,false,1580646935,1965,2621,3,7,22,35,5,145
5223128115,4382847308,true,1580646943,2352,102,1,7,22,13,2,182
5223128117,4382837737,true,1580646948,1986,1394,1,7,22,13,2,181
5223128118,4382858275,false,1580646948,2805,2993,3,0,22,44,7,153
5223128210,4382841663,true,1580646944,2043,2141,3,7,22,45,4,156
5223128305,4382829767,true,1580646956,1660,1596,2,7,22,21,3,132
5223128418,4382845220,false,1580646959,2235,2888,1,0,22,42,4,133
5223128516,4382821810,true,1580646966,1336,2383,3,0,22,37,5,182
5223128612,4382827364,true,1580646964,1553,2336,2,7,22,37,4,144
5223128616,4382827560,true,1580646967,1518,1780,2,7,22,42,3,151
5223128618,4382860227,false,1580646968,2794,2898,2,7,22,34,8,231
5223128711,4382837730,false,1580646972,1908,883,1,7,22,32,2,152
5223128713,4382842361,true,1580646961,2050,2595,3,7,22,44,5,185
5223128718,4382830094,false,1580646971,1594,2919,2,0,22,54,2,181
5223128906,4382837709,true,1580646974,1907,2914,3,7,22,44,8,132
5223128917,4382859785,true,1580646974,2798,2548,3,7,22,44,8,227
5223129000,4382855107,true,1580646977,2603,2298,3,7,22,41,8,187
5223129006,4382838367,true,1580646958,1934,1905,3,7,22,25,4,135
5223129112,4382873173,true,1580646947,3273,1183,3,7,22,23,4,225
5223129118,4382844184,true,1580646980,2214,2667,3,7,22,37,6,225
