match_id,match_seq_num,radiant_win,start_time,duration,avg_mmr,num_mmr,lobby_type,game_mode,avg_rank_tier,num_rank_tier,cluster
5223127419,4382856263,true,1580646931,2569,4470,3,7,22,64,6,187
5223127602,4382851569,false,1580646936,2515,5285,4,7,22,80,6,137
5223127607,4382835217,false,1580646936,1879,4312,5,7,22,62,6,186
5223127705,4382849572,true,1580646942,2346,4258,5,0,22,62,7,223
5223128314,4382871078,false,1580646959,3150,4330,5,7,22,68,7,132
5223128608,4382856448,false,1580646963,2536,4024,2,7,22,55,4,151
5223128716,4382837028,true,1580646972,1870,4051,3,7,22,64,6,155
5223128717,4382845349,false,1580646972,2178,4178,1,7,22,60,4,155
5223128912,4382832563,false,1580646977,1740,4211,1,7,22,71,5,184
5223129701,4382870095,false,1580646993,3071,4111,2,7,22,50,9,232
5223129814,4382853157,true,1580647010,2343,4228,5,7,22,62,9,153
5223130410,4382834197,true,1580647028,1723,4028,6,7,22,63,7,134
5223130713,4382850359,false,1580647034,2272,4491,5,7,22,72,8,131
5223130811,4382858508,false,1580647016,2681,4606,5,7,22,71,8,131
5223131501,4382833083,true,1580647061,1575,4542,3,7,22,80,5,151
5223131706,4382868119,true,1580647062,3035,4031,3,7,22,61,6,137
5223132512,4382855558,false,1580647089,2450,4419,1,0,22,51,2,227
5223132714,4382840610,true,1580647097,1774,4127,1,7,22,37,7,137
5223133009,4382869233,true,1580647101,3018,4329,4,7,22,68,5,155
5223133010,4382845214,false,1580647108,2071,4619,3,7,22,77,6,154
5223133106,4382861055,true,1580647112,2651,4045,4,7,22,62,8,183
5223133111,4382855878,true,1580647106,2534,5072,1,7,22,72,3,133
5223133209,4382820708,true,1580647116,1069,4479,6,7,22,73,8,192
5223133213,4382865781,false,1580647111,2897,4385,2,7,22,70,7,134
5223133215,4382830098,false,1580647108,1456,4910,2,7,22,69,3,134
5223133400,4382847291,true,1580647123,2151,4453,3,7,22,65,6,135
5223133717,4382842093,true,1580647129,1949,4145,6,7,22,74,8,153
5223134200,4382847348,false,1580647145,2123,5548,5,7,22,80,6,135
5223134519,4382827225,true,1580647140,1331,4667,5,7,22,71,7,188
5223135019,4382848991,true,1580647172,2000,4381,2,0,22,43,3,223
5223135405,4382849141,true,1580647184,2179,4212,1,7,22,56,5,155
5223135415,4382850456,false,1580647173,2135,4556,5,7,22,62,8,131
5223135614,4382864390,true,1580647149,2731,4416,2,0,22,50,5,192
5223135900,4382846890,true,1580647190,2036,4453,5,7,22,74,6,188
5223136005,4382869008,false,1580647200,2737,4129,5,7,22,65,6,156
5223136118,4382842423,true,1580647200,1890,7314,5,7,22,80,7,135
5223137403,4382851369,true,1580647234,2160,4299,5,7,22,68,6,203
5223137900,4382834734,true,1580647262,1471,5021,2,7,22,67,4,181
5223138518,4382837941,false,1580647272,1602,4927,5,7,22,78,7,137
5223138810,4382887546,false,1580647289,3501,5286,6,7,22,80,6,138
5223139209,4382844141,true,1580647298,1737,4855,3,7,22,72,4,185
5223139310,4382846528,true,1580647302,2002,4423,2,7,22,68,4,181
5223139609,4382849942,true,1580647314,2067,4376,4,7,22,62,8,236
5223139713,4382856667,true,1580647320,2302,4155,3,7,22,63,5,251
5223139900,4382846492,false,1580647329,1881,4261,2,7,22,62,5,182
5223141206,4382855085,false,1580647370,2191,4363,5,7,22,67,5,153
5223141210,4382847510,false,1580647367,1821,4579,2,7,22,65,2,185
5223141306,4382868110,true,1580647372,2762,4407,4,7,22,70,5,131
5223141518,4382854695,true,1580647374,2075,4094,4,7,22,64,8,236
5223142413,4382842469,true,1580647402,1649,4666,7,7,22,76,10,223
5223142610,4382866570,false,1580647414,2566,4059,6,0,22,63,5,227
5223142913,4382902457,false,1580647426,3896,5056,6,7,22,79,9,153
5223143316,4382867094,false,1580647433,2680,4055,4,7,22,63,6,181
5223143318,4382877202,false,1580647434,3065,4211,2,7,22,63,4,145
5223143518,4382846940,false,1580647431,1732,4911,3,0,22,66,4,136
5223144213,4382886438,false,1580647455,3223,4207,4,7,22,72,7,123
5223145105,4382880455,true,1580647485,3053,4230,1,7,22,58,4,201
5223145303,4382872372,false,1580647486,2397,4430,2,7,22,64,8,131
5223145605,4382873350,false,1580647503,2792,4393,5,7,22,66,7,187
5223146200,4382841832,true,1580647521,1419,5277,4,7,22,77,7,187
5223146214,4382871017,false,1580647523,2662,4858,2,7,22,70,8,192
5223146315,4382886460,true,1580647531,3327,4099,3,0,22,50,5,154
5223146601,4382865728,true,1580647540,2466,4070,5,7,22,60,9,227
5223146602,4382841686,false,1580647539,1525,4622,3,7,22,56,8,227
5223146919,4382868921,false,1580647550,2593,4018,6,0,22,59,4,136
5223147411,4382861232,false,1580647566,2301,4840,5,7,22,80,5,132
5223147710,4382856927,false,1580647575,2035,4144,3,7,22,63,4,155
5223147719,4382857025,true,1580647541,1905,4342,2,7,22,69,4,186
5223147816,4382863874,true,1580647578,2092,4452,2,7,22,57,5,144
5223147909,4382853117,false,1580647584,1793,4070,5,7,22,71,6,138
5223148617,4382936324,true,1580647609,5147,4071,5,0,22,52,7,131
5223149104,4382855732,false,1580647616,2030,4012,1,7,22,52,4,191
5223149517,4382878451,true,1580647636,2794,4530,1,0,22,80,4,138
5223149814,4382867544,false,1580647644,2261,4794,2,0,22,66,4,134
5223150114,4382866666,false,1580647628,2283,4034,1,0,22,56,2,182
5223150212,4382873233,false,1580647658,2602,4765,3,7,22,73,8,133
5223150602,4382863686,true,1580647657,2178,4097,1,7,22,39,5,134
5223150706,4382844314,true,1580647678,1404,4131,3,7,22,54,4,145
5223150909,4382870656,true,1580647665,2524,4126,4,7,22,58,9,172
5223151116,4382870273,false,1580647683,2482,4159,1,0,22,57,2,182
5223151118,4382844893,false,1580647678,1458,4430,4,7,22,80,5,181
5223151513,4382865484,false,1580647705,2135,4345,6,7,22,67,9,145
5223152017,4382876177,false,1580647719,2739,4315,1,0,22,44,2,172
5223152212,4382841214,true,1580647723,1278,4239,6,7,22,65,9,136
5223152905,4382870091,true,1580647731,2484,4171,4,7,22,63,8,227
5223153003,4382877522,true,1580647738,2720,4017,1,7,22,46,4,185
5223153102,4382836089,true,1580647743,1080,4114,3,7,22,60,7,227
5223153217,4382857214,true,1580647729,1794,4930,6,7,22,77,8,135
5223153319,4382892475,true,1580647755,3313,4310,4,7,22,60,7,152
5223153401,4382863885,true,1580647758,2081,4534,7,0,22,72,8,136
5223154202,4382845174,true,1580647788,1458,4058,4,0,22,56,3,131
5223154302,4382852122,false,1580647785,1699,4593,5,7,22,57,8,138
5223154611,4382863854,true,1580647790,1979,4195,4,7,22,66,8,236
5223154916,4382870557,false,1580647811,2162,4825,2,7,22,70,5,151
5223154918,4382873098,true,1580647806,2509,4042,3,7,22,55,5,153
5223155314,4382858766,true,1580647783,1897,4877,4,7,22,77,6,154
5223155508,4382875471,false,1580647823,2426,4250,1,7,22,66,5,172
5223155611,4382878644,false,1580647816,2649,4562,4,7,22,66,8,151
5223155711,4382867629,true,1580647833,2288,4295,1,7,22,42,5,155
5223155802,4382877933,false,1580647835,2604,4260,4,7,22,71,6,156
5223155817,4382850453,true,1580647829,1577,4264,2,7,22,63,5,155
5223157406,4382862034,true,1580647887,1995,4425,2,7,22,70,8,236
5223157408,4382848943,false,1580647887,1469,4655,6,7,22,74,6,151
5223157411,4382853967,true,1580647892,1636,4118,4,0,22,63,4,186
5223157418,4382878178,true,1580647892,2624,4922,5,7,22,72,7,155
5223157504,4382877387,false,1580647875,2622,4038,7,7,22,72,7,225
5223158000,4382891197,false,1580647908,2775,4637,1,7,22,43,5,155
5223158016,4382855700,true,1580647906,1739,4428,3,7,22,58,6,133
5223158212,4382891173,false,1580647915,2992,4167,4,7,22,61,7,227
5223158715,4382896479,true,1580647923,2897,4650,1,7,22,60,3,156
5223159308,4382863335,false,1580647954,1945,4603,6,7,22,77,8,144
5223159909,4382857173,false,1580647973,1697,4088,2,0,22,45,3,232
5223160119,4382867325,false,1580647942,2098,4321,1,0,22,39,5,156
5223160919,4382899452,true,1580648005,3216,4706,2,7,22,53,6,188
5223161307,4382883114,false,1580648017,2500,4175,1,0,22,48,6,154
5223161309,4382881681,false,1580648015,2629,4162,4,7,22,62,6,152
5223161319,4382882697,false,1580648012,2676,4062,4,7,22,53,7,182
5223161612,4382900097,true,1580648024,3148,4266,2,0,22,51,8,155
5223161902,4382897036,true,1580648033,3186,4307,6,7,22,60,9,223
5223161906,4382868458,true,1580648031,2055,4018,1,7,22,64,4,155
5223162113,4382853832,false,1580648042,1423,4066,2,7,22,59,5,137
5223162205,4382858206,false,1580648039,1698,4099,4,0,22,61,4,131
5223162516,4382883454,false,1580648046,2612,4021,1,7,22,60,4,152
5223162612,4382862104,false,1580648050,1776,4097,2,7,22,54,3,144
5223162714,4382885777,false,1580648061,2657,4197,6,0,22,61,5,151
5223162819,4382900293,false,1580648064,3169,4320,2,7,22,54,5,182
5223162911,4382860851,false,1580648070,1797,4122,5,7,22,60,9,193
5223163200,4382893568,false,1580648077,2986,4915,5,7,22,78,6,133
5223163418,4382882357,false,1580648085,2395,4892,6,0,22,74,6,137
